Ord_id,Order_Date,Order_Priority
Ord_657,11-03-2009,NOT SPECIFIED
Ord_782,11-03-2009,HIGH
Ord_2722,11-03-2009,CRITICAL
Ord_3881,11-03-2009,HIGH
Ord_4465,11-03-2009,LOW
Ord_2383,12-03-2009,NOT SPECIFIED
Ord_1345,01-04-2009,CRITICAL
Ord_1619,01-04-2009,HIGH
Ord_448,02-04-2009,LOW
Ord_613,02-04-2009,MEDIUM
Ord_977,02-04-2009,LOW
Ord_1139,02-04-2009,MEDIUM
Ord_3272,02-04-2009,MEDIUM
Ord_3398,02-04-2009,MEDIUM
Ord_3966,02-04-2009,MEDIUM
Ord_4484,02-04-2009,LOW
Ord_62,03-04-2009,LOW
Ord_3307,03-04-2009,LOW
Ord_3770,03-04-2009,CRITICAL
Ord_545,04-04-2009,CRITICAL
Ord_2408,04-04-2009,HIGH
Ord_2938,04-04-2009,LOW
Ord_3026,04-04-2009,HIGH
Ord_5161,04-04-2009,MEDIUM
Ord_4211,05-04-2009,MEDIUM
Ord_4354,05-04-2009,HIGH
Ord_4954,05-04-2009,MEDIUM
Ord_5142,05-04-2009,CRITICAL
Ord_2418,06-04-2009,NOT SPECIFIED
Ord_2940,06-04-2009,CRITICAL
Ord_4313,06-04-2009,HIGH
Ord_5152,06-04-2009,LOW
Ord_951,07-04-2009,CRITICAL
Ord_1564,07-04-2009,MEDIUM
Ord_1644,07-04-2009,MEDIUM
Ord_1660,07-04-2009,LOW
Ord_3526,07-04-2009,HIGH
Ord_4637,07-04-2009,HIGH
Ord_377,08-04-2009,NOT SPECIFIED
Ord_909,08-04-2009,MEDIUM
Ord_2567,08-04-2009,NOT SPECIFIED
Ord_2785,08-04-2009,CRITICAL
Ord_4434,08-04-2009,CRITICAL
Ord_5453,08-04-2009,CRITICAL
Ord_162,09-04-2009,CRITICAL
Ord_829,09-04-2009,NOT SPECIFIED
Ord_4432,09-04-2009,MEDIUM
Ord_5416,09-04-2009,MEDIUM
Ord_1268,10-04-2009,MEDIUM
Ord_1950,10-04-2009,LOW
Ord_2114,10-04-2009,LOW
Ord_2345,10-04-2009,NOT SPECIFIED
Ord_3029,10-04-2009,MEDIUM
Ord_3158,10-04-2009,LOW
Ord_3276,10-04-2009,MEDIUM
Ord_899,11-04-2009,CRITICAL
Ord_1119,11-04-2009,NOT SPECIFIED
Ord_1985,11-04-2009,CRITICAL
Ord_2301,11-04-2009,CRITICAL
Ord_2911,11-04-2009,CRITICAL
Ord_3353,11-04-2009,HIGH
Ord_3422,11-04-2009,CRITICAL
Ord_1374,12-04-2009,HIGH
Ord_2689,12-04-2009,NOT SPECIFIED
Ord_3761,12-04-2009,LOW
Ord_301,01-05-2009,HIGH
Ord_500,01-05-2009,HIGH
Ord_553,01-05-2009,NOT SPECIFIED
Ord_1251,01-05-2009,CRITICAL
Ord_1664,01-05-2009,CRITICAL
Ord_2330,01-05-2009,NOT SPECIFIED
Ord_3339,01-05-2009,MEDIUM
Ord_3750,01-05-2009,HIGH
Ord_519,02-05-2009,LOW
Ord_557,02-05-2009,CRITICAL
Ord_3347,02-05-2009,CRITICAL
Ord_4289,02-05-2009,MEDIUM
Ord_4336,02-05-2009,MEDIUM
Ord_367,03-05-2009,NOT SPECIFIED
Ord_1128,03-05-2009,MEDIUM
Ord_3038,03-05-2009,CRITICAL
Ord_3142,03-05-2009,NOT SPECIFIED
Ord_4126,03-05-2009,LOW
Ord_1529,04-05-2009,HIGH
Ord_3134,04-05-2009,NOT SPECIFIED
Ord_3994,04-05-2009,HIGH
Ord_684,05-05-2009,LOW
Ord_1546,05-05-2009,LOW
Ord_2022,05-05-2009,MEDIUM
Ord_2660,06-05-2009,HIGH
Ord_4364,07-05-2009,LOW
Ord_4891,07-05-2009,LOW
Ord_123,08-05-2009,NOT SPECIFIED
Ord_792,08-05-2009,LOW
Ord_802,08-05-2009,LOW
Ord_1727,08-05-2009,MEDIUM
Ord_2996,08-05-2009,MEDIUM
Ord_4276,08-05-2009,NOT SPECIFIED
Ord_4375,08-05-2009,MEDIUM
Ord_461,09-05-2009,NOT SPECIFIED
Ord_720,09-05-2009,LOW
Ord_4643,09-05-2009,HIGH
Ord_4934,09-05-2009,NOT SPECIFIED
Ord_4986,09-05-2009,HIGH
Ord_5015,09-05-2009,MEDIUM
Ord_903,10-05-2009,HIGH
Ord_2269,10-05-2009,CRITICAL
Ord_2754,10-05-2009,NOT SPECIFIED
Ord_532,11-05-2009,NOT SPECIFIED
Ord_4613,11-05-2009,MEDIUM
Ord_4853,11-05-2009,HIGH
Ord_4889,11-05-2009,NOT SPECIFIED
Ord_1057,12-05-2009,LOW
Ord_1791,12-05-2009,MEDIUM
Ord_3473,12-05-2009,MEDIUM
Ord_4292,12-05-2009,LOW
Ord_138,01-06-2009,CRITICAL
Ord_1853,01-06-2009,LOW
Ord_3237,01-06-2009,MEDIUM
Ord_3953,01-06-2009,NOT SPECIFIED
Ord_4146,01-06-2009,CRITICAL
Ord_4148,01-06-2009,NOT SPECIFIED
Ord_4194,01-06-2009,LOW
Ord_4551,01-06-2009,HIGH
Ord_1181,02-06-2009,LOW
Ord_2278,02-06-2009,CRITICAL
Ord_3578,02-06-2009,HIGH
Ord_3967,02-06-2009,HIGH
Ord_285,03-06-2009,MEDIUM
Ord_687,03-06-2009,NOT SPECIFIED
Ord_5413,03-06-2009,LOW
Ord_360,04-06-2009,HIGH
Ord_1163,04-06-2009,LOW
Ord_1760,04-06-2009,LOW
Ord_2002,04-06-2009,CRITICAL
Ord_2225,04-06-2009,MEDIUM
Ord_3233,04-06-2009,LOW
Ord_3954,04-06-2009,HIGH
Ord_4630,04-06-2009,MEDIUM
Ord_465,05-06-2009,CRITICAL
Ord_4221,05-06-2009,HIGH
Ord_1969,06-06-2009,CRITICAL
Ord_542,07-06-2009,LOW
Ord_933,07-06-2009,NOT SPECIFIED
Ord_2194,07-06-2009,MEDIUM
Ord_2489,07-06-2009,MEDIUM
Ord_5050,07-06-2009,NOT SPECIFIED
Ord_551,08-06-2009,LOW
Ord_651,08-06-2009,CRITICAL
Ord_1071,08-06-2009,HIGH
Ord_2526,08-06-2009,LOW
Ord_3982,08-06-2009,LOW
Ord_4227,08-06-2009,HIGH
Ord_5121,08-06-2009,HIGH
Ord_971,09-06-2009,CRITICAL
Ord_992,09-06-2009,CRITICAL
Ord_1049,09-06-2009,LOW
Ord_4655,09-06-2009,NOT SPECIFIED
Ord_5328,09-06-2009,LOW
Ord_3740,10-06-2009,CRITICAL
Ord_4942,10-06-2009,CRITICAL
Ord_1418,11-06-2009,NOT SPECIFIED
Ord_626,12-06-2009,HIGH
Ord_1098,12-06-2009,MEDIUM
Ord_1239,12-06-2009,NOT SPECIFIED
Ord_1597,12-06-2009,NOT SPECIFIED
Ord_1602,12-06-2009,MEDIUM
Ord_2747,12-06-2009,CRITICAL
Ord_2889,12-06-2009,NOT SPECIFIED
Ord_4084,12-06-2009,MEDIUM
Ord_1256,01-07-2009,HIGH
Ord_1416,01-07-2009,MEDIUM
Ord_2044,01-07-2009,LOW
Ord_2338,01-07-2009,MEDIUM
Ord_4623,01-07-2009,LOW
Ord_5077,01-07-2009,HIGH
Ord_3178,02-07-2009,MEDIUM
Ord_4085,02-07-2009,MEDIUM
Ord_4558,02-07-2009,LOW
Ord_664,03-07-2009,CRITICAL
Ord_354,04-07-2009,LOW
Ord_1147,04-07-2009,MEDIUM
Ord_3390,04-07-2009,NOT SPECIFIED
Ord_4242,04-07-2009,LOW
Ord_4420,04-07-2009,MEDIUM
Ord_2584,05-07-2009,HIGH
Ord_2748,05-07-2009,MEDIUM
Ord_2917,05-07-2009,CRITICAL
Ord_3332,05-07-2009,HIGH
Ord_3699,05-07-2009,HIGH
Ord_3950,05-07-2009,MEDIUM
Ord_4621,05-07-2009,HIGH
Ord_4872,05-07-2009,HIGH
Ord_118,06-07-2009,LOW
Ord_511,06-07-2009,HIGH
Ord_2042,06-07-2009,LOW
Ord_4214,06-07-2009,LOW
Ord_4723,06-07-2009,CRITICAL
Ord_244,07-07-2009,LOW
Ord_857,07-07-2009,CRITICAL
Ord_2621,07-07-2009,MEDIUM
Ord_3407,07-07-2009,LOW
Ord_4421,07-07-2009,LOW
Ord_5406,07-07-2009,HIGH
Ord_471,08-07-2009,CRITICAL
Ord_2416,08-07-2009,NOT SPECIFIED
Ord_4814,08-07-2009,HIGH
Ord_5454,08-07-2009,HIGH
Ord_4416,09-07-2009,NOT SPECIFIED
Ord_842,10-07-2009,NOT SPECIFIED
Ord_1072,10-07-2009,HIGH
Ord_2360,10-07-2009,MEDIUM
Ord_5005,10-07-2009,HIGH
Ord_3342,11-07-2009,CRITICAL
Ord_4890,11-07-2009,CRITICAL
Ord_707,12-07-2009,MEDIUM
Ord_1653,12-07-2009,CRITICAL
Ord_3522,12-07-2009,MEDIUM
Ord_3730,12-07-2009,MEDIUM
Ord_4182,12-07-2009,LOW
Ord_2596,01-08-2009,HIGH
Ord_3972,01-08-2009,NOT SPECIFIED
Ord_5361,01-08-2009,HIGH
Ord_2075,02-08-2009,NOT SPECIFIED
Ord_2399,02-08-2009,MEDIUM
Ord_5059,02-08-2009,MEDIUM
Ord_5506,02-08-2009,HIGH
Ord_1228,03-08-2009,HIGH
Ord_3835,03-08-2009,LOW
Ord_4186,03-08-2009,CRITICAL
Ord_948,04-08-2009,NOT SPECIFIED
Ord_1367,04-08-2009,CRITICAL
Ord_1875,04-08-2009,LOW
Ord_2334,04-08-2009,CRITICAL
Ord_2367,04-08-2009,CRITICAL
Ord_3169,04-08-2009,LOW
Ord_1043,05-08-2009,HIGH
Ord_4225,05-08-2009,LOW
Ord_4602,05-08-2009,NOT SPECIFIED
Ord_5019,06-08-2009,LOW
Ord_2038,07-08-2009,LOW
Ord_3463,08-08-2009,HIGH
Ord_3598,09-08-2009,CRITICAL
Ord_4851,09-08-2009,LOW
Ord_179,10-08-2009,CRITICAL
Ord_2473,10-08-2009,NOT SPECIFIED
Ord_3589,10-08-2009,CRITICAL
Ord_3917,10-08-2009,MEDIUM
Ord_4267,10-08-2009,NOT SPECIFIED
Ord_231,11-08-2009,NOT SPECIFIED
Ord_1740,11-08-2009,LOW
Ord_2484,11-08-2009,NOT SPECIFIED
Ord_3287,11-08-2009,LOW
Ord_4721,11-08-2009,CRITICAL
Ord_2227,12-08-2009,NOT SPECIFIED
Ord_4991,12-08-2009,CRITICAL
Ord_1241,01-09-2009,NOT SPECIFIED
Ord_1757,01-09-2009,LOW
Ord_2032,01-09-2009,NOT SPECIFIED
Ord_2324,01-09-2009,NOT SPECIFIED
Ord_2941,01-09-2009,LOW
Ord_4404,01-09-2009,HIGH
Ord_5460,02-09-2009,LOW
Ord_330,03-09-2009,HIGH
Ord_3805,03-09-2009,NOT SPECIFIED
Ord_3937,03-09-2009,LOW
Ord_5334,03-09-2009,NOT SPECIFIED
Ord_1556,04-09-2009,LOW
Ord_1759,04-09-2009,NOT SPECIFIED
Ord_3248,04-09-2009,HIGH
Ord_4060,04-09-2009,NOT SPECIFIED
Ord_4431,04-09-2009,MEDIUM
Ord_4710,04-09-2009,CRITICAL
Ord_5245,04-09-2009,LOW
Ord_2599,05-09-2009,CRITICAL
Ord_3900,05-09-2009,HIGH
Ord_2385,06-09-2009,CRITICAL
Ord_3107,07-09-2009,CRITICAL
Ord_3410,07-09-2009,NOT SPECIFIED
Ord_3678,07-09-2009,CRITICAL
Ord_4596,07-09-2009,CRITICAL
Ord_572,08-09-2009,HIGH
Ord_1284,08-09-2009,NOT SPECIFIED
Ord_3847,08-09-2009,MEDIUM
Ord_4191,08-09-2009,LOW
Ord_3745,09-09-2009,CRITICAL
Ord_26,10-09-2009,HIGH
Ord_116,10-09-2009,NOT SPECIFIED
Ord_1449,10-09-2009,CRITICAL
Ord_3138,10-09-2009,HIGH
Ord_3804,10-09-2009,NOT SPECIFIED
Ord_4143,10-09-2009,CRITICAL
Ord_1520,11-09-2009,HIGH
Ord_293,12-09-2009,NOT SPECIFIED
Ord_708,12-09-2009,CRITICAL
Ord_1761,12-09-2009,MEDIUM
Ord_1964,12-09-2009,LOW
Ord_5343,12-09-2009,MEDIUM
Ord_862,01-10-2009,CRITICAL
Ord_950,01-10-2009,CRITICAL
Ord_1077,01-10-2009,LOW
Ord_1384,01-10-2009,CRITICAL
Ord_2907,01-10-2009,MEDIUM
Ord_2992,01-10-2009,HIGH
Ord_3656,01-10-2009,LOW
Ord_5323,01-10-2009,NOT SPECIFIED
Ord_1568,02-10-2009,MEDIUM
Ord_3049,02-10-2009,HIGH
Ord_3369,02-10-2009,CRITICAL
Ord_3436,02-10-2009,MEDIUM
Ord_3488,02-10-2009,LOW
Ord_3391,03-10-2009,MEDIUM
Ord_4142,03-10-2009,MEDIUM
Ord_5452,03-10-2009,LOW
Ord_755,04-10-2009,NOT SPECIFIED
Ord_1164,04-10-2009,NOT SPECIFIED
Ord_1489,04-10-2009,NOT SPECIFIED
Ord_1578,04-10-2009,CRITICAL
Ord_2321,04-10-2009,MEDIUM
Ord_3064,04-10-2009,NOT SPECIFIED
Ord_4514,04-10-2009,HIGH
Ord_4599,04-10-2009,MEDIUM
Ord_1106,05-10-2009,LOW
Ord_3893,05-10-2009,LOW
Ord_1247,06-10-2009,NOT SPECIFIED
Ord_1832,06-10-2009,HIGH
Ord_4166,07-10-2009,HIGH
Ord_130,08-10-2009,LOW
Ord_839,08-10-2009,CRITICAL
Ord_3789,08-10-2009,NOT SPECIFIED
Ord_5021,08-10-2009,LOW
Ord_5379,08-10-2009,CRITICAL
Ord_2761,09-10-2009,CRITICAL
Ord_5351,09-10-2009,NOT SPECIFIED
Ord_1713,10-10-2009,HIGH
Ord_2128,10-10-2009,CRITICAL
Ord_3498,10-10-2009,LOW
Ord_473,11-10-2009,HIGH
Ord_2046,11-10-2009,LOW
Ord_2939,11-10-2009,MEDIUM
Ord_3408,11-10-2009,HIGH
Ord_5489,11-10-2009,HIGH
Ord_484,12-10-2009,NOT SPECIFIED
Ord_2775,12-10-2009,CRITICAL
Ord_4852,12-10-2009,MEDIUM
Ord_121,01-11-2009,HIGH
Ord_1931,01-11-2009,NOT SPECIFIED
Ord_4043,01-11-2009,LOW
Ord_1595,02-11-2009,CRITICAL
Ord_3460,02-11-2009,CRITICAL
Ord_3841,02-11-2009,HIGH
Ord_4494,02-11-2009,HIGH
Ord_165,03-11-2009,HIGH
Ord_1144,03-11-2009,NOT SPECIFIED
Ord_1173,04-11-2009,NOT SPECIFIED
Ord_1192,04-11-2009,HIGH
Ord_4824,04-11-2009,MEDIUM
Ord_1961,05-11-2009,LOW
Ord_3748,05-11-2009,HIGH
Ord_4162,05-11-2009,LOW
Ord_4618,05-11-2009,HIGH
Ord_1178,06-11-2009,HIGH
Ord_1266,06-11-2009,CRITICAL
Ord_2079,06-11-2009,HIGH
Ord_2800,06-11-2009,NOT SPECIFIED
Ord_3867,06-11-2009,CRITICAL
Ord_4832,06-11-2009,CRITICAL
Ord_2318,07-11-2009,CRITICAL
Ord_752,08-11-2009,HIGH
Ord_1433,08-11-2009,HIGH
Ord_3788,08-11-2009,MEDIUM
Ord_5242,08-11-2009,NOT SPECIFIED
Ord_85,09-11-2009,HIGH
Ord_866,09-11-2009,CRITICAL
Ord_2094,09-11-2009,CRITICAL
Ord_2514,09-11-2009,CRITICAL
Ord_4248,09-11-2009,CRITICAL
Ord_4709,09-11-2009,MEDIUM
Ord_453,10-11-2009,MEDIUM
Ord_2611,10-11-2009,HIGH
Ord_3568,10-11-2009,LOW
Ord_4746,10-11-2009,LOW
Ord_3015,11-11-2009,HIGH
Ord_4424,11-11-2009,NOT SPECIFIED
Ord_1000,12-11-2009,HIGH
Ord_2486,12-11-2009,CRITICAL
Ord_3217,12-11-2009,MEDIUM
Ord_4130,12-11-2009,MEDIUM
Ord_1094,01-12-2009,NOT SPECIFIED
Ord_2163,01-12-2009,CRITICAL
Ord_3657,01-12-2009,NOT SPECIFIED
Ord_3665,01-12-2009,MEDIUM
Ord_4859,01-12-2009,LOW
Ord_828,02-12-2009,CRITICAL
Ord_1382,02-12-2009,NOT SPECIFIED
Ord_1387,02-12-2009,LOW
Ord_1683,02-12-2009,MEDIUM
Ord_2573,02-12-2009,HIGH
Ord_2825,02-12-2009,MEDIUM
Ord_4314,02-12-2009,MEDIUM
Ord_2451,03-12-2009,HIGH
Ord_2765,03-12-2009,NOT SPECIFIED
Ord_3719,03-12-2009,NOT SPECIFIED
Ord_4964,03-12-2009,LOW
Ord_5031,03-12-2009,NOT SPECIFIED
Ord_4792,04-12-2009,HIGH
Ord_501,05-12-2009,MEDIUM
Ord_996,05-12-2009,MEDIUM
Ord_3349,05-12-2009,NOT SPECIFIED
Ord_935,06-12-2009,LOW
Ord_1191,06-12-2009,LOW
Ord_2757,06-12-2009,MEDIUM
Ord_3914,06-12-2009,HIGH
Ord_4409,06-12-2009,HIGH
Ord_4735,06-12-2009,CRITICAL
Ord_5188,06-12-2009,HIGH
Ord_774,07-12-2009,LOW
Ord_2906,07-12-2009,HIGH
Ord_4037,07-12-2009,LOW
Ord_4516,07-12-2009,HIGH
Ord_4559,07-12-2009,NOT SPECIFIED
Ord_5284,07-12-2009,HIGH
Ord_40,08-12-2009,HIGH
Ord_658,08-12-2009,HIGH
Ord_1420,08-12-2009,MEDIUM
Ord_4794,08-12-2009,MEDIUM
Ord_879,09-12-2009,CRITICAL
Ord_1544,09-12-2009,NOT SPECIFIED
Ord_1563,09-12-2009,CRITICAL
Ord_1960,09-12-2009,NOT SPECIFIED
Ord_3603,09-12-2009,LOW
Ord_5156,09-12-2009,LOW
Ord_3424,10-12-2009,NOT SPECIFIED
Ord_4310,10-12-2009,LOW
Ord_2498,11-12-2009,MEDIUM
Ord_3482,11-12-2009,MEDIUM
Ord_4170,11-12-2009,CRITICAL
Ord_632,12-12-2009,MEDIUM
Ord_643,12-12-2009,CRITICAL
Ord_1160,12-12-2009,HIGH
Ord_1232,12-12-2009,HIGH
Ord_1536,12-12-2009,MEDIUM
Ord_1635,12-12-2009,HIGH
Ord_3868,12-12-2009,HIGH
Ord_3207,01-01-2010,LOW
Ord_3520,01-01-2010,MEDIUM
Ord_4664,01-01-2010,MEDIUM
Ord_491,02-01-2010,LOW
Ord_1614,02-01-2010,HIGH
Ord_2250,02-01-2010,NOT SPECIFIED
Ord_4580,02-01-2010,NOT SPECIFIED
Ord_2332,03-01-2010,NOT SPECIFIED
Ord_2719,03-01-2010,NOT SPECIFIED
Ord_3149,03-01-2010,MEDIUM
Ord_131,04-01-2010,LOW
Ord_1600,04-01-2010,CRITICAL
Ord_2168,04-01-2010,HIGH
Ord_2710,04-01-2010,MEDIUM
Ord_1663,05-01-2010,CRITICAL
Ord_3432,05-01-2010,NOT SPECIFIED
Ord_4943,05-01-2010,HIGH
Ord_343,06-01-2010,MEDIUM
Ord_1989,06-01-2010,LOW
Ord_3877,06-01-2010,HIGH
Ord_2683,08-01-2010,MEDIUM
Ord_269,09-01-2010,NOT SPECIFIED
Ord_1903,09-01-2010,LOW
Ord_3751,09-01-2010,MEDIUM
Ord_4734,09-01-2010,LOW
Ord_527,10-01-2010,NOT SPECIFIED
Ord_2758,10-01-2010,HIGH
Ord_956,11-01-2010,NOT SPECIFIED
Ord_2506,11-01-2010,LOW
Ord_3160,11-01-2010,LOW
Ord_4575,11-01-2010,CRITICAL
Ord_5128,11-01-2010,HIGH
Ord_1916,12-01-2010,HIGH
Ord_2837,12-01-2010,CRITICAL
Ord_3099,12-01-2010,LOW
Ord_3998,12-01-2010,MEDIUM
Ord_5160,12-01-2010,CRITICAL
Ord_994,01-02-2010,CRITICAL
Ord_1278,01-02-2010,LOW
Ord_1871,01-02-2010,LOW
Ord_3890,01-02-2010,CRITICAL
Ord_263,02-02-2010,NOT SPECIFIED
Ord_690,02-02-2010,CRITICAL
Ord_1274,02-02-2010,LOW
Ord_3112,02-02-2010,NOT SPECIFIED
Ord_3850,02-02-2010,LOW
Ord_5432,02-02-2010,NOT SPECIFIED
Ord_428,03-02-2010,MEDIUM
Ord_534,03-02-2010,CRITICAL
Ord_1143,03-02-2010,MEDIUM
Ord_1481,03-02-2010,HIGH
Ord_3943,03-02-2010,CRITICAL
Ord_4355,03-02-2010,MEDIUM
Ord_5487,03-02-2010,MEDIUM
Ord_3731,04-02-2010,MEDIUM
Ord_5170,04-02-2010,LOW
Ord_786,05-02-2010,NOT SPECIFIED
Ord_3585,05-02-2010,HIGH
Ord_4220,05-02-2010,HIGH
Ord_2067,06-02-2010,HIGH
Ord_3265,06-02-2010,NOT SPECIFIED
Ord_3911,08-02-2010,CRITICAL
Ord_4629,08-02-2010,NOT SPECIFIED
Ord_2681,09-02-2010,MEDIUM
Ord_3594,10-02-2010,HIGH
Ord_4106,10-02-2010,HIGH
Ord_5255,10-02-2010,NOT SPECIFIED
Ord_5442,10-02-2010,HIGH
Ord_401,12-02-2010,LOW
Ord_1744,12-02-2010,NOT SPECIFIED
Ord_2892,12-02-2010,MEDIUM
Ord_4651,12-02-2010,MEDIUM
Ord_1667,01-03-2010,NOT SPECIFIED
Ord_1813,01-03-2010,MEDIUM
Ord_3251,01-03-2010,LOW
Ord_3359,01-03-2010,HIGH
Ord_1458,02-03-2010,LOW
Ord_2563,02-03-2010,HIGH
Ord_955,03-03-2010,LOW
Ord_2055,03-03-2010,MEDIUM
Ord_2098,03-03-2010,LOW
Ord_2505,03-03-2010,MEDIUM
Ord_3434,03-03-2010,MEDIUM
Ord_507,04-03-2010,HIGH
Ord_1064,04-03-2010,CRITICAL
Ord_2014,04-03-2010,LOW
Ord_4141,04-03-2010,HIGH
Ord_353,05-03-2010,CRITICAL
Ord_883,05-03-2010,CRITICAL
Ord_4140,05-03-2010,HIGH
Ord_587,06-03-2010,HIGH
Ord_1722,06-03-2010,NOT SPECIFIED
Ord_2688,06-03-2010,NOT SPECIFIED
Ord_5490,06-03-2010,MEDIUM
Ord_127,07-03-2010,MEDIUM
Ord_257,07-03-2010,NOT SPECIFIED
Ord_2313,07-03-2010,LOW
Ord_2935,07-03-2010,HIGH
Ord_2948,07-03-2010,NOT SPECIFIED
Ord_4270,07-03-2010,CRITICAL
Ord_4512,07-03-2010,CRITICAL
Ord_4727,07-03-2010,CRITICAL
Ord_5486,07-03-2010,HIGH
Ord_411,08-03-2010,CRITICAL
Ord_1730,08-03-2010,HIGH
Ord_2289,08-03-2010,CRITICAL
